trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.1440197744585,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9980029960049943}",20,0,-96.92599049222878,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9959125731275885}",25,0,-90.8967961258839,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.993729642966926}",30,0,-117.91672420362771,"{0: 15, 1: 7, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9914551536726242}",25,0,-193.39386887153614,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9890900890453078}",20,0,-124.55578661490586,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9866354676087884}",25,0,-143.99543012861713,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.984092341655378}",25,0,-53.98141782687665,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9814617962658833}",25,0,-154.01818789208707,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9787449483058235}",35,21,-22.782811707366097,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9759429453994689}",20,13,12.86517326037146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9730569648832861}",25,0,-61.17577941042342,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9700882127404226}",25,0,-95.486047420265,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9670379225178463}",20,0,-11.663206348488453,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9639073542277907}",20,0,-170.72964278713374,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9606977932351382}",20,0,-40.302220498160395,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9574105491323945}",30,0,-122.6638415957246,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9540469546038889}",20,0,-156.47426606732625,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9506083642808442}",20,0,-118.42320266437906,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9470961535889354}",25,0,-199.7961249180543,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.94351171758996}",25,0,-13.064308616979519,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9398564698192119}",20,0,-162.7277597462782,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.936131841120144}",20,2,-68.31376793394004,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.9323392784778761}",20,0,-65.45742641101779,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.92848024385308}",25,0,-78.12198451368022,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9245562130177514}",25,0,-132.70641908897022,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9205686743943419}",25,0,-143.75739761010368,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9165191278996966}",20,0,-168.56286947954646,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.912409083795203}",20,0,-79.1162370663852,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9082400615445261}",25,4,-67.36145978958811,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9040135886802579}",20,0,-38.281836963446096,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8997311996807752}",20,0,-139.1534131663712,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8953944348585503}",20,0,-61.99314437888625,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.891004839261123}",20,14,-16.402802954486972,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8865639615858837}",20,0,-138.96321429275704,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8820733531097852}",35,25,5.972439897117015,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8775345666350387}",25,0,-39.56864746541838,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8729491554518088}",20,0,-99.09973806275468,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8683186723188684}",25,0,-112.44106680727671,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.8636446684631239}",30,17,-48.01784712913671,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.8589286925988693}",20,0,-152.75366461614288,"{0: 10, 1: 1, 2: 4, 3: 4, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8541722899675759}",30,0,-92.30987763866355,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8493770013989731}",20,0,-102.20521090114657,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.8445443623941211}",20,0,-59.91647480379788,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8396759022311273}",20,0,-96.2155756229149,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8347731430940992}",20,0,-56.823395524669394,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.829837599225886}",25,0,-87.98297876445874,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.8248707761050962}",20,0,-61.68633718322326,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8198741696478384}",20,11,-15.681653620282916,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.8148492654345731}",25,0,-116.63036115177155,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.8097975379624227}",30,23,-2.7601939750510516,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.804720449923227}",25,0,-135.38936347677875,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7996194515075941}",25,6,-92.01027469407767,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.7944959797351404}",25,0,-98.70649777492386,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7893514578110757}",25,6,-1.2548356723090983,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7841872945092331}",20,0,-88.18985505375822,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7790048835816151}",20,0,-58.36142366806508,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7738056031944676}",30,1,-68.63125792485157,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.7685908153908674}",20,0,-45.463110290521314,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.763361865579758}",20,0,-97.83801014209298,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.7581200820513366}",25,0,-259.14080420367463,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
