trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.54836403146442,"{0: 13, 1: 4, 2: 10, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.04177985922237,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.51575179214075,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.62081829591216,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.8920216713153,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.69520825692591,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.1561272815753,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.42004310990261,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.61280756848639,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.16018905160131,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.64652115737493,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.57178377057303,"{0: 17, 1: 6, 2: 2, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.5253225984867,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.93423280336617,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,14,-31.626163519870214,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.71548726164711,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.02248029219723,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.23626933294952,"{0: 8, 1: 1, 2: 6, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.70829559618139,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.4018816353908,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,6,-78.37234094620045,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.9793410643167,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.69078302716957,"{0: 10, 1: 3, 2: 1, 3: 2, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.7148628561999,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-201.82482930697,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.90242604784106,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.26687752368298,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.23261125132666,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.51318479402374,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-72.31666102506398,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
